original_varname,new_varname,object_name,quantity_name,annotated_object_name
earth_surface_land__area_fraction,earth_surface_land__area_fraction,earth_surface_land,area_fraction,((earth-has-abstraction-surface)-is-location-of-land)
earth_surface_ocean__area_fraction,earth_surface_ocean__area_fraction,earth_surface_ocean,area_fraction,((earth-has-abstraction-surface)-is-location-of-ocean)
earth_surface_radiation~incoming~longwave__energy_flux,earth_surface_radiation~incoming~longwave__energy_flux,earth_surface_radiation~incoming~longwave,energy_flux,((earth-has-abstraction-surface)-is-location-of-radiation~incoming~longwave)
earth_surface_radiation~incoming~shortwave__energy_flux,earth_surface_radiation~incoming~shortwave__energy_flux,earth_surface_radiation~incoming~shortwave,energy_flux,((earth-has-abstraction-surface)-is-location-of-radiation~incoming~shortwave)
earth_surface_radiation~incoming~total__energy_flux,earth_surface_radiation~incoming__energy_flux,earth_surface_radiation~incoming,energy_flux,((earth-has-abstraction-surface)-is-location-of-radiation~incoming)
earth_surface_radiation~incoming~visible__energy_flux,earth_surface_radiation~incoming~visible__energy_flux,earth_surface_radiation~incoming~visible,energy_flux,((earth-has-abstraction-surface)-is-location-of-radiation~incoming~visible)
earth_surface_station~seismic__elevation,earth_surface_seismic-station__elevation,earth_surface_seismic-station,elevation,((earth-has-abstraction-surface)-is-location-of-seismic-station)
earth_surface_station~seismic__latitude,earth_surface_seismic-station__latitude,earth_surface_seismic-station,latitude,((earth-has-abstraction-surface)-is-location-of-seismic-station)
earth_surface_station~seismic__longitude,earth_surface_seismic-station__longitude,earth_surface_seismic-station,longitude,((earth-has-abstraction-surface)-is-location-of-seismic-station)
earth_surface_station~seismic_seismograph__shaking_amplitude,earth_surface_seismic-station_seismograph_shaking__amplitude,earth_surface_seismic-station_seismograph_shaking,amplitude,((earth-has-abstraction-surface)-is-location-of-(seismic-station-contains-(seismograph-undergoes-process-shaking)))
earth_surface_viewpoint__elevation,earth_surface_viewpoint__elevation,earth_surface_viewpoint,elevation,((earth-has-abstraction-surface)-is-location-of-viewpoint)
earth_surface_viewpoint__latitude,earth_surface_viewpoint__latitude,earth_surface_viewpoint,latitude,((earth-has-abstraction-surface)-is-location-of-viewpoint)
earth_surface_viewpoint__longitude,earth_surface_viewpoint__longitude,earth_surface_viewpoint,longitude,((earth-has-abstraction-surface)-is-location-of-viewpoint)
earth_surface_viewpoint__solar_noon_time,earth_surface_viewpoint__solar_noon_time,earth_surface_viewpoint,solar_noon_time,((earth-has-abstraction-surface)-is-location-of-viewpoint)
earth_surface_viewpoint_jupiter__apparent_magnitude,earth_surface_viewpoint_jupiter__apparent-magnitude_scale,earth_surface_viewpoint_jupiter,apparent-magnitude_scale,(((earth-has-abstraction-surface)-is-location-of-viewpoint)-as-perspective-jupiter)
earth_surface_viewpoint_jupiter__rise_time,earth_surface_viewpoint_jupiter_rising__time,earth_surface_viewpoint_jupiter_rising,time,(((earth-has-abstraction-surface)-is-location-of-viewpoint)-as-perspective-jupiter-undergoes-process-rising)
earth_surface_viewpoint_jupiter__set_time,earth_surface_viewpoint_jupiter_setting__time,earth_surface_viewpoint_jupiter_setting,time,(((earth-has-abstraction-surface)-is-location-of-viewpoint)-as-perspective-jupiter-undergoes-process-setting)
earth_surface_viewpoint_jupiter__subtended_angle,earth_surface_viewpoint_jupiter__subtended_angle,earth_surface_viewpoint_jupiter,subtended_angle,(((earth-has-abstraction-surface)-is-location-of-viewpoint)-as-perspective-jupiter)
earth_surface_viewpoint_mars__apparent_magnitude,earth_surface_viewpoint_mars__apparent-magnitude_scale,earth_surface_viewpoint_mars,apparent-magnitude_scale,(((earth-has-abstraction-surface)-is-location-of-viewpoint)-as-perspective-mars)
earth_surface_viewpoint_mars__rise_time,earth_surface_viewpoint_mars_rising__time,earth_surface_viewpoint_mars_rising,time,(((earth-has-abstraction-surface)-is-location-of-viewpoint)-as-perspective-mars-undergoes-process-rising)
earth_surface_viewpoint_mars__set_time,earth_surface_viewpoint_mars_setting__time,earth_surface_viewpoint_mars_setting,time,(((earth-has-abstraction-surface)-is-location-of-viewpoint)-as-perspective-mars-undergoes-process-setting)
earth_surface_viewpoint_mars__subtended_angle,earth_surface_viewpoint_mars__subtended_angle,earth_surface_viewpoint_mars,subtended_angle,(((earth-has-abstraction-surface)-is-location-of-viewpoint)-as-perspective-mars)
earth_surface_viewpoint_mercury__apparent_magnitude,earth_surface_viewpoint_mercury__apparent-magnitude_scale,earth_surface_viewpoint_mercury,apparent-magnitude_scale,(((earth-has-abstraction-surface)-is-location-of-viewpoint)-as-perspective-mercury)
earth_surface_viewpoint_mercury__rise_time,earth_surface_viewpoint_mercury_rising__time,earth_surface_viewpoint_mercury_rising,time,(((earth-has-abstraction-surface)-is-location-of-viewpoint)-as-perspective-mercury-undergoes-process-rising)
earth_surface_viewpoint_mercury__set_time,earth_surface_viewpoint_mercury_setting__time,earth_surface_viewpoint_mercury_setting,time,(((earth-has-abstraction-surface)-is-location-of-viewpoint)-as-perspective-mercury-undergoes-process-setting)
earth_surface_viewpoint_mercury__subtended_angle,earth_surface_viewpoint_mercury__subtended_angle,earth_surface_viewpoint_mercury,subtended_angle,(((earth-has-abstraction-surface)-is-location-of-viewpoint)-as-perspective-mercury)
earth_surface_viewpoint_moon__apparent_magnitude,earth_surface_viewpoint_moon__apparent-magnitude_scale,earth_surface_viewpoint_moon,apparent-magnitude_scale,(((earth-has-abstraction-surface)-is-location-of-viewpoint)-as-perspective-moon)
earth_surface_viewpoint_moon__rise_time,earth_surface_viewpoint_moon_rising__time,earth_surface_viewpoint_moon_rising,time,(((earth-has-abstraction-surface)-is-location-of-viewpoint)-as-perspective-moon-undergoes-process-rising)
earth_surface_viewpoint_moon__set_time,earth_surface_viewpoint_moon_setting__time,earth_surface_viewpoint_moon_setting,time,(((earth-has-abstraction-surface)-is-location-of-viewpoint)-as-perspective-moon-undergoes-process-setting)
earth_surface_viewpoint_moon__subtended_angle,earth_surface_viewpoint_moon__subtended_angle,earth_surface_viewpoint_moon,subtended_angle,(((earth-has-abstraction-surface)-is-location-of-viewpoint)-as-perspective-moon)
earth_surface_viewpoint_neptune__apparent_magnitude,earth_surface_viewpoint_neptune__apparent-magnitude_scale,earth_surface_viewpoint_neptune,apparent-magnitude_scale,(((earth-has-abstraction-surface)-is-location-of-viewpoint)-as-perspective-neptune)
earth_surface_viewpoint_neptune__rise_time,earth_surface_viewpoint_neptune_rising__time,earth_surface_viewpoint_neptune_rising,time,(((earth-has-abstraction-surface)-is-location-of-viewpoint)-as-perspective-neptune-undergoes-process-rising)
