original_name,variable_name,object_name,quantity_name,phenomena,processes,matter,roles,forms,properties,operations,propertytypes,propertyroles,propertyquantifications,trajectories,domains,attributes,abstractions,models,directions,parts,reference,object_pattern,quantity_pattern
soil_carbon_pool~stabilized_carbon__year-start_mass,soil_carbon_pool~stabilized_carbon__year-start_mass,soil_carbon_pool~stabilized_carbon,year-start_mass,,,"carbon, soil",,pool,year-start_mass,,,,,,,stabilized,,,,,,MATTER_MATTER_FORM~ATTRIBUTE_MATTER,PROPERTY
soil_carbon_pool~stabilized_carbon__final_mass,soil_carbon_pool~stabilized_carbon__final_mass,soil_carbon_pool~stabilized_carbon,final_mass,,,"carbon, soil",,pool,final_mass,,,,,,,stabilized,,,,,,MATTER_MATTER_FORM~ATTRIBUTE_MATTER,PROPERTY
soil_carbon_pool~stabilized_carbon__change_of_mass,soil_carbon_pool~stabilized_carbon__change_of_mass,soil_carbon_pool~stabilized_carbon,change_of_mass,,,"carbon, soil",,pool,mass,change,,,,,,stabilized,,,,,,MATTER_MATTER_FORM~ATTRIBUTE_MATTER,OPERATION_of_PROPERTY
soil_carbon_pool~stabilized_carbon__initial_mass,soil_carbon_pool~stabilized_carbon__initial_mass,soil_carbon_pool~stabilized_carbon,initial_mass,,,"carbon, soil",,pool,initial_mass,,,,,,,stabilized,,,,,,MATTER_MATTER_FORM~ATTRIBUTE_MATTER,PROPERTY
soil_layer__bulk_mass-per-volume_density,soil_layer_bulk__mass-per-volume_density,soil_layer_bulk,mass-per-volume_density,,,soil,,bulk,mass-per-volume_density,,,,,,,,,,,layer,,MATTER_PART_FORM,PROPERTY
soil_layer_carbon~stabilized__mass_fraction,soil_layer_carbon~stabilized__mass_fraction,soil_layer_carbon~stabilized,mass_fraction,,,"carbon, soil",,,mass_fraction,,,,,,,stabilized,,,,layer,,MATTER_PART_MATTER~ATTRIBUTE,PROPERTY
soil_layer_matter~organic~stabilized_carbon__mass_fraction,soil_layer_matter~organic~stabilized_carbon__mass_fraction,soil_layer_matter~organic~stabilized_carbon,mass_fraction,,,"carbon, matter, soil",,,mass_fraction,,,,,,,"stabilized, organic",,,,layer,,MATTER_PART_MATTER~ATTRIBUTE~ATTRIBUTE_MATTER,PROPERTY
soil_carbon_pool~microbial-and-stabilized_carbon~decomposed__mass_addition_rate,soil_carbon_pool~microbial-and-stabilized_carbon~decomposed_addition__mass_rate,soil_carbon_pool~microbial-and-stabilized_carbon~decomposed_addition,mass_rate,,addition,"carbon, soil",,pool,mass_rate,,,,,,,"decomposed, stabilized, microbial",,,,,,MATTER_MATTER_FORM~ATTRIBUTE-and-ATTRIBUTE_MATTER~ATTRIBUTE_PROCESS,PROPERTY
soil_clay_particle__volume_fraction,soil_clay_particle__volume_fraction,soil_clay_particle,volume_fraction,,,"clay, soil",,particle,volume_fraction,,,,,,,,,,,,,MATTER_MATTER_FORM,PROPERTY
crop-or-weed__species_identification_code,crop-or-weed__species_identification_code,crop-or-weed,species_identification_code,crop-or-weed,,,,,,,,,,,,,,,,,,PHENOMENON,species_identification_code
cultivar__line-or-genotype_identification_code,cultivar__line-or-genotype_identification_code,cultivar,line-or-genotype_identification_code,cultivar,,,,,,,,,,,,,,,,,,PHENOMENON,line-or-genotype_identification_code
crop_residue_pool_carbon__time_integral_of_decomposition_respiration_mass_flux,crop_residue_decomposition_pool_carbon_respiration__time_integral_of_mass_flux,crop_residue_decomposition_pool_carbon_respiration,time_integral_of_mass_flux,,"decomposition, respiration",carbon,"residue, crop",pool,mass_flux,time_integral,,,,,,,,,,,,ROLE_ROLE_PROCESS_FORM_MATTER_PROCESS,OPERATION_of_PROPERTY
crop_residue_pool_root-and-rhizodeposit_biomass__yearly_time_integral_of_addition_mass_flux,crop_residue_pool_root-and-rhizodeposit_biomass_addition__one-year_time_integral_of_mass_flux,crop_residue_pool_root-and-rhizodeposit_biomass_addition,one-year_time_integral_of_mass_flux,"rhizodeposit, root",addition,biomass,"residue, crop",pool,mass_flux,one-year_time_integral,,,,,,,,,,,,ROLE_ROLE_FORM_PHENOMENON-and-PHENOMENON_MATTER_PROCESS,OPERATION_of_PROPERTY
crop_residue_pool_root-and-rhizodeposit_carbon__yearly_time_integral_of_decomposition_mass_flux,crop_residue_pool_root-and-rhizodeposit-as-carbon_decomposition__one-year_time_integral_of_mass_flux,crop_residue_pool_root-and-rhizodeposit-as-carbon_decomposition,one-year_time_integral_of_mass_flux,"rhizodeposit, root",decomposition,carbon,"residue, crop",pool,mass_flux,one-year_time_integral,,,,,,,,,,,,ROLE_ROLE_FORM_PHENOMENON-and-PHENOMENON-as-MATTER_PROCESS,OPERATION_of_PROPERTY
crop_nitrogen__thermal-time-to-maturity_weighted_stress_fraction,crop_nitrogen__thermal-time-to-maturity_weighted_stress_fraction,crop_nitrogen,thermal-time-to-maturity_weighted_stress_fraction,,,nitrogen,crop,,thermal-time-to-maturity_weighted_stress_fraction,,,,,,,,,,,,,ROLE_MATTER,PROPERTY
crop_row__planting_separation_distance,crop_planting_row__separation_distance,crop_planting_row,separation_distance,,planting,,crop,,separation_distance,,,,,,,,row,,,,,ROLE_PROCESS_ABSTRACTION,PROPERTY
crops~legume_nitrogen__mass-per-area_fixation_density,crops~legume_nitrogen_fixation__mass-per-area_density,crops~legume_nitrogen_fixation,mass-per-area_density,,fixation,nitrogen,crops,,mass-per-area_density,,,,,,,legume,,,,,,ROLE~ATTRIBUTE_MATTER_PROCESS,PROPERTY
ground~above_crop_residue~retained__mass-per-area_density,above-ground_crop_residue~retained__mass-per-area_density,above-ground_crop_residue~retained,mass-per-area_density,ground,,,"residue, crop",,mass-per-area_density,,,,,,,retained,,,,,,above-PHENOMENON_ROLE_ROLE~ATTRIBUTE,PROPERTY
ground~above_crop_residue-as-carbon__decomposition_mass,above-ground_crop_residue-as-carbon_decomposition__mass,above-ground_crop_residue-as-carbon_decomposition,mass,ground,decomposition,carbon,"residue, crop",,mass,,,,,,,,,,,,,above-PHENOMENON_ROLE_ROLE-as-MATTER_PROCESS,PROPERTY
ground~above_crop_roots-and-rhizodeposits-as-carbon__decomposition_mass,above-ground_crop_roots-and-rhizodeposits-as-carbon_decomposition__mass,above-ground_crop_roots-and-rhizodeposits-as-carbon_decomposition,mass,"rhizodeposits, ground, roots",decomposition,carbon,crop,,mass,,,,,,,,,,,,,above-PHENOMENON_ROLE_PHENOMENON-and-PHENOMENON-as-MATTER_PROCESS,PROPERTY
ground~above_crop_residue_pool_carbon__yearly_time_integral_of_decomposition_mass_flux,above-ground_crop_residue_pool-as-carbon_decomposition__one-year_time_integral_of_mass_flux,above-ground_crop_residue_pool-as-carbon_decomposition,one-year_time_integral_of_mass_flux,ground,decomposition,carbon,"residue, crop",pool,mass_flux,one-year_time_integral,,,,,,,,,,,,above-PHENOMENON_ROLE_ROLE_FORM-as-MATTER_PROCESS,OPERATION_of_PROPERTY
forage-or-residue~removed_nitrogen__mass_fraction,forage-or-residue~removed_nitrogen__mass_fraction,forage-or-residue~removed_nitrogen,mass_fraction,,,nitrogen,"residue, forage",,mass_fraction,,,,,,,removed,,,,,,ROLE-or-ROLE~ATTRIBUTE_MATTER,PROPERTY
grain~dry__mass-per-area_yield,grain~dry__mass-per-area_yield,grain~dry,mass-per-area_yield,grain,,,,grain,mass-per-area_yield,,,,,,,dry,,,,,,PHENOMENON~ATTRIBUTE,PROPERTY
grain_nitrogen_at-harvest__mass-per-area_density,grain_nitrogen_at-harvest__mass-per-area_density,grain_nitrogen_at-harvest,mass-per-area_density,grain,harvest,nitrogen,,grain,mass-per-area_density,,,,,,,,,,,,,PHENOMENON_MATTER_at-PROCESS,PROPERTY
land__rotation_tillage_year,crop_rotation_land_tilling__year,crop_rotation_land_tilling,year,land,"rotation, tilling",,crop,,year,,,,,,,,,,,,,ROLE_PROCESS_PHENOMENON_PROCESS,PROPERTY
land_soil~dry_surface__albedo,land_soil~dry_surface__albedo,land_soil~dry_surface,albedo,land,,soil,,,albedo,,,,,,,dry,surface,,,,,PHENOMENON_MATTER~ATTRIBUTE_ABSTRACTION,PROPERTY
land_surface~horizontal_radiation~incoming~shortwave__energy_flux,land_surface~horizontal_radiation~incoming~shortwave__energy_flux,land_surface~horizontal_radiation~incoming~shortwave,energy_flux,"radiation, land",radiation,,,,energy_flux,,,,,,,"horizontal, shortwave",surface,,incoming,,,PHENOMENON_ABSTRACTION~ATTRIBUTE_PHENOMENON~DIRECTION~ATTRIBUTE,PROPERTY
crop_water__penman-monteith_reference_evapotranspiration_volume_flux,crop_water_evapotranspiration__penman-monteith_reference_volume_flux,crop_water_evapotranspiration,penman-monteith_reference_volume_flux,,evapotranspiration,water,crop,,penman-monteith_reference_volume_flux,,,,,,,,,,,,,ROLE_MATTER_PROCESS,PROPERTY
land_surface_water__usdanrcs_runoff_curve_number,land_surface_water_runoff__usdanrcs_curve_number,land_surface_water_runoff,usdanrcs_curve_number,land,runoff,water,,,usdanrcs_curve_number,,,,,,,,surface,,,,,PHENOMENON_ABSTRACTION_MATTER_PROCESS,PROPERTY
land_surface_water_surface__height_flood_index,land_surface_water_surface__height_flood_index,land_surface_water_surface,height_flood_index,land,,water,,,height_flood_index,,,,,,,,surface,,,,,PHENOMENON_ABSTRACTION_MATTER_ABSTRACTION,PROPERTY
soil_nitrous-oxide-as-nitrogen__denitrification_mass-per-area_emission_density,soil_denitrification_nitrous-oxide-as-nitrogen_emission__mass-per-area_density,soil_denitrification_nitrous-oxide-as-nitrogen_emission,mass-per-area_density,,"denitrification, emission","nitrous-oxide, nitrogen, soil",,,mass-per-area_density,,,,,,,,,,,,,MATTER_PROCESS_MATTER-as-MATTER_PROCESS,PROPERTY
soil_nitrous-oxide-as-nitrogen__nitrification_mass-per-area_emission_density,soil_nitrification_nitrous-oxide-as-nitrogen_emission__mass-per-area_density,soil_nitrification_nitrous-oxide-as-nitrogen_emission,mass-per-area_density,,"nitrification, emission","nitrous-oxide, nitrogen, soil",,,mass-per-area_density,,,,,,,,,,,,,MATTER_PROCESS_MATTER-as-MATTER_PROCESS,PROPERTY
soil_nitrous-oxide-as-nitrogen__average_of_denitrification_mass_emission_rate,soil_denitrification_nitrous-oxide-as-nitrogen_emission__average_of_mass_rate,soil_denitrification_nitrous-oxide-as-nitrogen_emission,average_of_mass_rate,,"denitrification, emission","nitrous-oxide, nitrogen, soil",,,mass_rate,average,,,,,,,,,,,,MATTER_PROCESS_MATTER-as-MATTER_PROCESS,OPERATION_of_PROPERTY
soil_nitrous-oxide-as-nitrogen__average_of_nitrification_mass_emission_rate,soil_nitrification_nitrous-oxide-as-nitrogen_emission__average_of_mass_rate,soil_nitrification_nitrous-oxide-as-nitrogen_emission,average_of_mass_rate,,"nitrification, emission","nitrous-oxide, nitrogen, soil",,,mass_rate,average,,,,,,,,,,,,MATTER_PROCESS_MATTER-as-MATTER_PROCESS,OPERATION_of_PROPERTY
soil_nitrous-oxide-as-nitrogen__average_of_mass_emission_rate,soil_nitrous-oxide-as-nitrogen_emission__average_of_mass_rate,soil_nitrous-oxide-as-nitrogen_emission,average_of_mass_rate,,emission,"nitrous-oxide, nitrogen, soil",,,mass_rate,average,,,,,,,,,,,,MATTER_MATTER-as-MATTER_PROCESS,OPERATION_of_PROPERTY
plant_at-grain-or-forage-harvest-or-death__mass-per-area_density,plant_at-grain-or-forage_harvest-or-death__mass-per-area_density,plant_at-grain-or-forage_harvest-or-death,mass-per-area_density,"grain, plant","harvest, death",,forage,grain,mass-per-area_density,,,,,,,,,,,,,PHENOMENON_at-PHENOMENON-or-ROLE_PROCESS-or-PROCESS,PROPERTY
plant_root_at-grain-or-forage-harvest-or-death__mass-per-area_density,plant_root_at-grain-or-forage_harvest-or-death__mass-per-area_density,plant_root_at-grain-or-forage_harvest-or-death,mass-per-area_density,"grain, plant, root","harvest, death",,forage,grain,mass-per-area_density,,,,,,,,,,,,,PHENOMENON_PHENOMENON_at-PHENOMENON-or-ROLE_PROCESS-or-PROCESS,PROPERTY
land_surface_radiation~solar__energy_flux,land_surface_radiation~solar__energy_flux,land_surface_radiation~solar,energy_flux,"radiation, land",radiation,,,,energy_flux,,,,,,,solar,surface,,,,,PHENOMENON_ABSTRACTION_PHENOMENON~ATTRIBUTE,PROPERTY
plants~living_water__evaporation_volume_flux,plants~living_water_evaporation__volume_flux,plants~living_water_evaporation,volume_flux,plants,"evaporation, living",water,,,volume_flux,,,,,,,living,,,,,,PHENOMENON~PROCESS_MATTER_PROCESS,PROPERTY
field_residue~remaining_nitrogen_at-harvest__mass-per-area_density,field_residue~remaining_nitrogen_at-harvest__mass-per-area_density,field_residue~remaining_nitrogen_at-harvest,mass-per-area_density,field,harvest,nitrogen,residue,,mass-per-area_density,,,,,,,remaining,,,,,,PHENOMENON_ROLE~ATTRIBUTE_MATTER_at-PROCESS,PROPERTY
forage-or-residue~removed_at-harvest__mass-per-area_yield,forage-or-residue~removed_at-harvest__mass-per-area_yield,forage-or-residue~removed_at-harvest,mass-per-area_yield,,harvest,,"residue, forage",,mass-per-area_yield,,,,,,,removed,,,,,,ROLE-or-ROLE~ATTRIBUTE_at-PROCESS,PROPERTY
forage-or-residue~removed_nitrogen_at-harvest__mass-per-area_yield,forage-or-residue~removed_nitrogen_at-harvest__mass-per-area_yield,forage-or-residue~removed_nitrogen_at-harvest,mass-per-area_yield,,harvest,nitrogen,"residue, forage",,mass-per-area_yield,,,,,,,removed,,,,,,ROLE-or-ROLE~ATTRIBUTE_MATTER_at-PROCESS,PROPERTY
roots-and-rhizodeposits__time_integral_of_mass-per-area_production_rate,roots-and-rhizodeposits_production__time_integral_of_mass-per-area_rate,roots-and-rhizodeposits_production,time_integral_of_mass-per-area_rate,"rhizodeposits, roots",production,,,,mass-per-area_rate,time_integral,,,,,,,,,,,,PHENOMENON-and-PHENOMENON_PROCESS,OPERATION_of_PROPERTY
soil~no-rock_silt__mass_fraction,soil~no-rock_silt__mass_fraction,soil~no-rock_silt,mass_fraction,,,"silt, soil",,,mass_fraction,,,,,,,no-rock,,,,,,MATTER~ATTRIBUTE_MATTER,PROPERTY
soil~moist_layer__bulk_mass-per-volume_density,soil~moist_layer_bulk__mass-per-volume_density,soil~moist_layer_bulk,mass-per-volume_density,,,soil,,bulk,mass-per-volume_density,,,,,,,moist,,,,layer,,MATTER~ATTRIBUTE_PART_FORM,PROPERTY
ground~above_residue~remaining_at-harvest__mass-per-area_density,above-ground_residue~remaining_at-harvest__mass-per-area_density,above-ground_residue~remaining_at-harvest,mass-per-area_density,ground,harvest,,residue,,mass-per-area_density,,,,,,,remaining,,,,,,above-PHENOMENON_ROLE~ATTRIBUTE_at-PROCESS,PROPERTY
soil_profile_bottom_water__drainage_volume_flux,soil_profile_bottom_water_drainage__volume_flux,soil_profile_bottom_water_drainage,volume_flux,,drainage,"water, soil",,,volume_flux,,,,,,,,profile,,,bottom,,MATTER_ABSTRACTION_PART_MATTER_PROCESS,PROPERTY
soil_profile_nitrate-as-nitrogen__mass-per-area_density,soil_profile_nitrate-as-nitrogen__mass-per-area_density,soil_profile_nitrate-as-nitrogen,mass-per-area_density,,,"nitrogen, nitrate, soil",,,mass-per-area_density,,,,,,,,profile,,,,,MATTER_ABSTRACTION_MATTER-as-MATTER,PROPERTY
soil_profile_bottom_water_ammonium__time_integral_of_drainage_leaching_mass_flux,soil_profile_bottom_water_drainage_ammonium_leaching__time_integral_of_mass_flux,soil_profile_bottom_water_drainage_ammonium_leaching,time_integral_of_mass_flux,,"drainage, leaching","ammonium, water, soil",,,mass_flux,time_integral,,,,,,,profile,,,bottom,,MATTER_ABSTRACTION_PART_MATTER_PROCESS_MATTER_PROCESS,OPERATION_of_PROPERTY
soil_profile_bottom_water_nitrate__time_integral_of_drainage_leaching_mass_flux,soil_profile_bottom_water_drainage_nitrate_leaching__time_integral_of_mass_flux,soil_profile_bottom_water_drainage_nitrate_leaching,time_integral_of_mass_flux,,"drainage, leaching","nitrate, water, soil",,,mass_flux,time_integral,,,,,,,profile,,,bottom,,MATTER_ABSTRACTION_PART_MATTER_PROCESS_MATTER_PROCESS,OPERATION_of_PROPERTY
soil_profile_ammonium-as-nitrogen__mass-per-area_density,soil_profile_ammonium-as-nitrogen__mass-per-area_density,soil_profile_ammonium-as-nitrogen,mass-per-area_density,,,"ammonium, nitrogen, soil",,,mass-per-area_density,,,,,,,,profile,,,,,MATTER_ABSTRACTION_MATTER-as-MATTER,PROPERTY
soil_pool~stabilized_carbon__change_of_mass,soil_pool~stabilized_carbon__change_of_mass,soil_pool~stabilized_carbon,change_of_mass,,,"carbon, soil",,pool,mass,change,,,,,,stabilized,,,,,,MATTER_FORM~ATTRIBUTE_MATTER,OPERATION_of_PROPERTY
ground~above_soil_residue_pool_crop_residue__mass-per-area_addition_density,above-ground_soil_residue_pool_crop_residue_addition__mass-per-area_density,above-ground_soil_residue_pool_crop_residue_addition,mass-per-area_density,ground,addition,soil,"residue, crop",pool,mass-per-area_density,,,,,,,,,,,,,above-PHENOMENON_MATTER_ROLE_FORM_ROLE_ROLE_PROCESS,PROPERTY
soil_pool-and-pool~microbial_carbon~decomposed__addition_mass,soil_pool-and-pool~microbial_carbon~decomposed_addition__mass,soil_pool-and-pool~microbial_carbon~decomposed_addition,mass,,addition,"carbon, soil",,pool,mass,,,,,,,"decomposed, microbial",,,,,,MATTER_FORM-and-FORM~ATTRIBUTE_MATTER~ATTRIBUTE_PROCESS,PROPERTY
soil_surface_residue~standing_carbon-to-nitrogen__mass_ratio,soil_surface_residue~standing_carbon_nitrogen__mass_ratio,soil_surface_residue~standing_carbon_nitrogen,mass_ratio,,,"nitrogen, carbon, soil",residue,,mass_ratio,,,,,,,standing,surface,,,,,MATTER_ABSTRACTION_ROLE~ATTRIBUTE_MATTER_MATTER,PROPERTY
substrates~organic_nitrogen__gross_decomposition_mass-per-area_mineralization_density,substrates~organic_decomposition_nitrogen_mineralization__gross_mass-per-area_density,substrates~organic_decomposition_nitrogen_mineralization,gross_mass-per-area_density,,"mineralization, decomposition",nitrogen,substrates,,gross_mass-per-area_density,,,,,,,organic,,,,,,ROLE~ATTRIBUTE_PROCESS_MATTER_PROCESS,PROPERTY
land_surface~0-to-10cm-below_soil_water__month-specific_anomaly_of_volume_fraction,land_surface~0-to-10cm-below_soil_water__month-specific_anomaly_of_volume_fraction,land_surface~0-to-10cm-below_soil_water,month-specific_anomaly_of_volume_fraction,land,,"water, soil",,,volume_fraction,month-specific_anomaly,,,,,,0-to-10cm,surface,,,,,PHENOMENON_ABSTRACTION~ATTRIBUTE-below_MATTER_MATTER,OPERATION_of_PROPERTY
land_surface~0-to-100cm-below_soil_water__month-specific_anomaly_of_volume_fraction,land_surface~0-to-100cm-below_soil_water__month-specific_anomaly_of_volume_fraction,land_surface~0-to-100cm-below_soil_water,month-specific_anomaly_of_volume_fraction,land,,"water, soil",,,volume_fraction,month-specific_anomaly,,,,,,0-to-100cm,surface,,,,,PHENOMENON_ABSTRACTION~ATTRIBUTE-below_MATTER_MATTER,OPERATION_of_PROPERTY
land_surface~2m-above_air__temperature,land_surface~2m-above_air__temperature,land_surface~2m-above_air,temperature,land,,air,,,temperature,,,,,,,2m,surface,,,,,PHENOMENON_ABSTRACTION~ATTRIBUTE-above_MATTER,PROPERTY
land_surface~2m-above_air__month-specific_anomaly_of_temperature,land_surface~2m-above_air__month-specific_anomaly_of_temperature,land_surface~2m-above_air,month-specific_anomaly_of_temperature,land,,air,,,temperature,month-specific_anomaly,,,,,,2m,surface,,,,,PHENOMENON_ABSTRACTION~ATTRIBUTE-above_MATTER,OPERATION_of_PROPERTY
atmosphere_water__first_dekad_time_integral_of_precipitation_leq_volume_flux,atmosphere_water_precipitation__first_dekad_time_integral_of_leq_volume_flux,atmosphere_water_precipitation,first_dekad_time_integral_of_leq_volume_flux,atmosphere,precipitation,water,,,leq_volume_flux,first_dekad_time_integral,,,,,,,,,,,,PHENOMENON_MATTER_PROCESS,OPERATION_of_PROPERTY
atmosphere_water__cumulative_anomaly_of_first_dekad_time_integral_of_precipitation_leq_volume_flux,atmosphere_water_precipitation__cumulative_anomaly_of_first_dekad_time_integral_of_leq_volume_flux,atmosphere_water_precipitation,cumulative_anomaly_of_first_dekad_time_integral_of_leq_volume_flux,atmosphere,precipitation,water,,,leq_volume_flux,"first_dekad_time_integral, cumulative_anomaly",,,,,,,,,,,,PHENOMENON_MATTER_PROCESS,OPERATION_of_OPERATION_of_PROPERTY
atmosphere_water__cumulative_z-score_of_first_dekad_time_integral_of_precipitation_leq_volume_flux,atmosphere_water_precipitation__cumulative_z-score_of_first_dekad_time_integral_of_leq_volume_flux,atmosphere_water_precipitation,cumulative_z-score_of_first_dekad_time_integral_of_leq_volume_flux,atmosphere,precipitation,water,,,leq_volume_flux,"first_dekad_time_integral, cumulative_z-score",,,,,,,,,,,,PHENOMENON_MATTER_PROCESS,OPERATION_of_OPERATION_of_PROPERTY
atmosphere_water__second_dekad_time_integral_of_precipitation_leq_volume_flux,atmosphere_water_precipitation__second_dekad_time_integral_of_leq_volume_flux,atmosphere_water_precipitation,second_dekad_time_integral_of_leq_volume_flux,atmosphere,precipitation,water,,,leq_volume_flux,second_dekad_time_integral,,,,,,,,,,,,PHENOMENON_MATTER_PROCESS,OPERATION_of_PROPERTY
atmosphere_water__cumulative_anomaly_of_second_dekad_time_integral_of_precipitation_leq_volume_flux,atmosphere_water_precipitation__cumulative_anomaly_of_second_dekad_time_integral_of_leq_volume_flux,atmosphere_water_precipitation,cumulative_anomaly_of_second_dekad_time_integral_of_leq_volume_flux,atmosphere,precipitation,water,,,leq_volume_flux,"second_dekad_time_integral, cumulative_anomaly",,,,,,,,,,,,PHENOMENON_MATTER_PROCESS,OPERATION_of_OPERATION_of_PROPERTY
atmosphere_water__cumulative_z-score_of_second_dekad_time_integral_of_precipitation_leq_volume_flux,atmosphere_water_precipitation__cumulative_z-score_of_second_dekad_time_integral_of_leq_volume_flux,atmosphere_water_precipitation,cumulative_z-score_of_second_dekad_time_integral_of_leq_volume_flux,atmosphere,precipitation,water,,,leq_volume_flux,"second_dekad_time_integral, cumulative_z-score",,,,,,,,,,,,PHENOMENON_MATTER_PROCESS,OPERATION_of_OPERATION_of_PROPERTY
atmosphere_water__third_dekad_time_integral_of_precipitation_leq_volume_flux,atmosphere_water_precipitation__third_dekad_time_integral_of_leq_volume_flux,atmosphere_water_precipitation,third_dekad_time_integral_of_leq_volume_flux,atmosphere,precipitation,water,,,leq_volume_flux,third_dekad_time_integral,,,,,,,,,,,,PHENOMENON_MATTER_PROCESS,OPERATION_of_PROPERTY
atmosphere_water__cumulative_anomaly_of_third_dekad_time_integral_of_precipitation_leq_volume_flux,atmosphere_water_precipitation__cumulative_anomaly_of_third_dekad_time_integral_of_leq_volume_flux,atmosphere_water_precipitation,cumulative_anomaly_of_third_dekad_time_integral_of_leq_volume_flux,atmosphere,precipitation,water,,,leq_volume_flux,"third_dekad_time_integral, cumulative_anomaly",,,,,,,,,,,,PHENOMENON_MATTER_PROCESS,OPERATION_of_OPERATION_of_PROPERTY
atmosphere_water__cumulative_z-score_of_third_dekad_time_integral_of_precipitation_leq_volume_flux,atmosphere_water_precipitation__cumulative_z-score_of_third_dekad_time_integral_of_leq_volume_flux,atmosphere_water_precipitation,cumulative_z-score_of_third_dekad_time_integral_of_leq_volume_flux,atmosphere,precipitation,water,,,leq_volume_flux,"third_dekad_time_integral, cumulative_z-score",,,,,,,,,,,,PHENOMENON_MATTER_PROCESS,OPERATION_of_OPERATION_of_PROPERTY
atmosphere_water__one-month_time_integral_of_precipitation_leq_volume_flux,atmosphere_water_precipitation__one-month_time_integral_of_leq_volume_flux,atmosphere_water_precipitation,one-month_time_integral_of_leq_volume_flux,atmosphere,precipitation,water,,,leq_volume_flux,one-month_time_integral,,,,,,,,,,,,PHENOMENON_MATTER_PROCESS,OPERATION_of_PROPERTY
atmosphere_water__cumulative_anomaly_of_one-month_time_integral_of_precipitation_leq_volume_flux,atmosphere_water_precipitation__cumulative_anomaly_of_one-month_time_integral_of_leq_volume_flux,atmosphere_water_precipitation,cumulative_anomaly_of_one-month_time_integral_of_leq_volume_flux,atmosphere,precipitation,water,,,leq_volume_flux,"one-month_time_integral, cumulative_anomaly",,,,,,,,,,,,PHENOMENON_MATTER_PROCESS,OPERATION_of_OPERATION_of_PROPERTY
atmosphere_water__cumulative_z-score_of_one-month_time_integral_of_precipitation_leq_volume_flux,atmosphere_water_precipitation__cumulative_z-score_of_one-month_time_integral_of_leq_volume_flux,atmosphere_water_precipitation,cumulative_z-score_of_one-month_time_integral_of_leq_volume_flux,atmosphere,precipitation,water,,,leq_volume_flux,"one-month_time_integral, cumulative_z-score",,,,,,,,,,,,PHENOMENON_MATTER_PROCESS,OPERATION_of_OPERATION_of_PROPERTY
atmosphere_water__forecast_of_five-day_time_integral_of_precipitation_leq_volume_flux,atmosphere_water_precipitation__forecast_of_five-day_time_integral_of_leq_volume_flux,atmosphere_water_precipitation,forecast_of_five-day_time_integral_of_leq_volume_flux,atmosphere,precipitation,water,,,leq_volume_flux,"five-day_time_integral, forecast",,,,,,,,,,,,PHENOMENON_MATTER_PROCESS,OPERATION_of_OPERATION_of_PROPERTY
atmosphere_water__cumulative_anomaly_of_forecast_of_five-day_time_integral_of_precipitation_leq_volume_flux,atmosphere_water_precipitation__cumulative_anomaly_of_forecast_of_five-day_time_integral_of_leq_volume_flux,atmosphere_water_precipitation,cumulative_anomaly_of_forecast_of_five-day_time_integral_of_leq_volume_flux,atmosphere,precipitation,water,,,leq_volume_flux,"five-day_time_integral, cumulative_anomaly, forecast",,,,,,,,,,,,PHENOMENON_MATTER_PROCESS,OPERATION_of_OPERATION_of_OPERATION_of_PROPERTY
atmosphere_water__cumulative_z-score_of_forecast_of_five-day_time_integral_of_precipitation_leq_volume_flux,atmosphere_water_precipitation__cumulative_z-score_of_forecast_of_five-day_time_integral_of_leq_volume_flux,atmosphere_water_precipitation,cumulative_z-score_of_forecast_of_five-day_time_integral_of_leq_volume_flux,atmosphere,precipitation,water,,,leq_volume_flux,"five-day_time_integral, cumulative_z-score, forecast",,,,,,,,,,,,PHENOMENON_MATTER_PROCESS,OPERATION_of_OPERATION_of_OPERATION_of_PROPERTY
atmosphere_water__forecast_of_ten-day_time_integral_of_precipitation_leq_volume_flux,atmosphere_water_precipitation__forecast_of_ten-day_time_integral_of_leq_volume_flux,atmosphere_water_precipitation,forecast_of_ten-day_time_integral_of_leq_volume_flux,atmosphere,precipitation,water,,,leq_volume_flux,"ten-day_time_integral, forecast",,,,,,,,,,,,PHENOMENON_MATTER_PROCESS,OPERATION_of_OPERATION_of_PROPERTY
atmosphere_water__cumulative_anomaly_of_forecast_of_ten-day_time_integral_of_precipitation_leq_volume_flux,atmosphere_water_precipitation__cumulative_anomaly_of_forecast_of_ten-day_time_integral_of_leq_volume_flux,atmosphere_water_precipitation,cumulative_anomaly_of_forecast_of_ten-day_time_integral_of_leq_volume_flux,atmosphere,precipitation,water,,,leq_volume_flux,"ten-day_time_integral, cumulative_anomaly, forecast",,,,,,,,,,,,PHENOMENON_MATTER_PROCESS,OPERATION_of_OPERATION_of_OPERATION_of_PROPERTY
atmosphere_water__cumulative_z-score_of_forecast_of_ten-day_time_integral_of_precipitation_leq_volume_flux,atmosphere_water_precipitation__cumulative_z-score_of_forecast_of_ten-day_time_integral_of_leq_volume_flux,atmosphere_water_precipitation,cumulative_z-score_of_forecast_of_ten-day_time_integral_of_leq_volume_flux,atmosphere,precipitation,water,,,leq_volume_flux,"ten-day_time_integral, cumulative_z-score, forecast",,,,,,,,,,,,PHENOMENON_MATTER_PROCESS,OPERATION_of_OPERATION_of_OPERATION_of_PROPERTY
