https://w3id.org/mint/modelCatalog#VariablePresentation,http://www.w3.org/2000/01/rdf-schema#label,https://w3id.org/mint/modelCatalog#hasShortName,https://w3id.org/mint/modelCatalog#hasLongName,http://purl.org/dc/terms/description,https://w3id.org/mint/modelCatalog#hasStandardVariable,https://w3id.org/mint/modelCatalog#usesUnit,https://w3id.org/mint/modelCatalog#hasCanonicalName,https://w3id.org/mint/modelCatalog#hasMinimumAcceptedValue,https://w3id.org/mint/modelCatalog#hasMaximumAcceptedValue,https://w3id.org/mint/modelCatalog#hasDefaultValue
pihm_VegFrac,VegFrac,VegFrac,Vegetation Fraction,Vegetation Fraction,land_vegetation_canopy__area_fraction,m2/m2,,,,
,,,,,,,,,,
pihm_Time,Time,Time,Time,Time,,day,,,,
pihm_Neumann_BCValue,Value of the Neumann BC,Value,Value of the Neumann BC,Value of the Neumann BC,,m,,,,
pihm_Dirichlet_BCValue,Value of the Dirichlet BC,Value,Value of the Dirichlet BC,Value of the Dirichlet BC,,m3/day,,,,
,,,,,,,,,,
pihm_Alpha,Alpha,Alpha,Van Genuchten Soil Parameter,Van Genuchten Soil Parameter,soil_water__van-genuchten_alpha_parameter,1/m,,,,
pihm_Beta,Beta,Beta,Van Genuchten Soil Parameter,Van Genuchten Soil Parameter,soil_water__van-genuchten_beta_parameter,,,,,
pihm_ginfD,infD,infD,Top soil layer across which infiltration is calculcated,Top soil layer across which infiltration is calculcated,soil_layer~top__thickness,m,,,,
pihm_KsatV,KsatV,KsatV,Vertical Saturated Hydraulic Conductivity,Vertical Saturated Hydraulic Conductivity,soil_water__vertical_saturated_hydraulic_conductivity,m/day,,,,
pihm_macD,macD,macD,Macropore Depth,Macropore Depth,soil_macropores_below-land-surface__depth,m,,,,
pihm_macKsatH,macKsatH,macKsatH,Horizontal macropore Hydraulic conductivity,Horizontal macropore Hydraulic conductivity,soil_water__saturated_hydraulic_conductivity,m/day,,,,
pihm_gThetaR,ThetaR,ThetaR,Residual Porosity,Residual Porosity,soil__residual_porosity,m3/m3,,,,
pihm_gThetaS,ThetaS,ThetaS,Porosity,Porosity,soil__porosity,m3/m3,,,,
pihm_vAreaF,vAreaF,vAreaF,Vertical Area Fraction of Macropore,Vertical Area Fraction of Macropore,soil_macropores_x-section~vertical__area_fraction,m2/m2,,,,
,,,,,,,,,,
pihm_hAreaF,hAreaF,hAreaF,Horizontal Area Fraction of Macropore,Horizontal Area Fraction of Macropore,soil_macropores_x-section~vertical__area_fraction,m2/m2,,,,
pihm_infD,infD,infD,Top soil layer across which infiltration is calculcated,Top soil layer across which infiltration is calculcated,soil_layer~top__thickness,m,,,,
pihm_macKsatV,macKsatV,macKsatV,Vertical macropore Hydraulic conductivity,Vertical macropore Hydraulic conductivity,soil_macropores_water__vertical_hydraulic_conductivity,m/day,,,,
pihm_ThetaR,ThetaR,ThetaR,Residual water content,Residual water content,soil__residual_porosity,m3/m3,,,,
pihm_ThetaS,ThetaS,ThetaS,Porosity,Porosity,soil__porosity,m3/m3,,,,
,,,,,,,,,,
pihm_Bed,Bed,Bed,Bed Depth,Bed Depth,channel_bed__thickness,m,,,,
pihm_Cwr,Cwr,Cwr,Discharge Coefficient,Discharge Coefficient,channel_water__discharge_coefficient,,,,,
pihm_Depth,Depth,Depth,Depth of the SHAPE,Depth of the SHAPE,channel_bed_below-channel-bank__depth,m,,,,
pihm_KsatH,KsatH,KsatH,Size Hydraulic Conductivity,Size Hydraulic Conductivity,channel_bottom_sediment_grain_water__hydraulic_conductivity,m/day,,,,
pihm_KsatVB,KsatV,KsatV,Bed Hydraulic Conductivity,Bed Hydraulic Conductivity,soil_water__vertical_saturated_hydraulic_conductivity,m/day,,,,
